"file","dot","referenced","found"
"resources/views/admin/dashboard.blade.php","admin.dashboard","No",""
"resources/views/admin/gradebook/index.blade.php","admin.gradebook.index","No",""
"resources/views/admin/gradebook/partials/results.blade.php","admin.gradebook.partials.results","No",""
"resources/views/admin/practice-history/index.blade.php","admin.practice-history.index","No",""
"resources/views/admin/practice-questions/create.blade.php","admin.practice-questions.create","No",""
"resources/views/admin/practice-questions/edit.blade.php","admin.practice-questions.edit","No",""
"resources/views/admin/practice-questions/index.blade.php","admin.practice-questions.index","Yes","dot-match"
"resources/views/admin/practice-questions/show.blade.php","admin.practice-questions.show","No",""
"resources/views/admin/questions/create.blade.php","admin.questions.create","No",""
"resources/views/admin/questions/edit.blade.php","admin.questions.edit","No",""
"resources/views/admin/questions/index.blade.php","admin.questions.index","No",""
"resources/views/admin/students/index.blade.php","admin.students.index","No",""
"resources/views/auth/confirm-password.blade.php","auth.confirm-password","No",""
"resources/views/auth/forgot-password.blade.php","auth.forgot-password","No",""
"resources/views/auth/login.blade.php","auth.login","No",""
"resources/views/auth/register.blade.php","auth.register","No",""
"resources/views/auth/reset-password.blade.php","auth.reset-password","No",""
"resources/views/auth/verify-email.blade.php","auth.verify-email","No",""
"resources/views/components/application-logo.blade.php","components.application-logo","Yes","<x-application-logo"
"resources/views/components/auth-session-status.blade.php","components.auth-session-status","Yes","<x-auth-session-status"
"resources/views/components/danger-button.blade.php","components.danger-button","No",""
"resources/views/components/dropdown.blade.php","components.dropdown","Yes","<x-dropdown"
"resources/views/components/dropdown-link.blade.php","components.dropdown-link","Yes","<x-dropdown-link"
"resources/views/components/input-error.blade.php","components.input-error","Yes","<x-input-error"
"resources/views/components/input-label.blade.php","components.input-label","Yes","<x-input-label"
"resources/views/components/modal.blade.php","components.modal","Yes","<x-modal"
"resources/views/components/nav-link.blade.php","components.nav-link","Yes","<x-nav-link"
"resources/views/components/primary-button.blade.php","components.primary-button","Yes","<x-primary-button"
"resources/views/components/responsive-nav-link.blade.php","components.responsive-nav-link","Yes","<x-responsive-nav-link"
"resources/views/components/secondary-button.blade.php","components.secondary-button","No",""
"resources/views/components/skeleton.blade.php","components.skeleton","Yes","<x-skeleton"
"resources/views/components/text-input.blade.php","components.text-input","Yes","<x-text-input"
"resources/views/layouts/app.blade.php","layouts.app","No",""
"resources/views/layouts/guest.blade.php","layouts.guest","No",""
"resources/views/layouts/navigation.blade.php","layouts.navigation","Yes","dot-match"
"resources/views/profile/edit.blade.php","profile.edit","Yes","dot-match"
"resources/views/profile/partials/delete-user-form.blade.php","profile.partials.delete-user-form","Yes","dot-match"
"resources/views/profile/partials/update-password-form.blade.php","profile.partials.update-password-form","Yes","dot-match"
"resources/views/profile/partials/update-profile-information-form.blade.php","profile.partials.update-profile-information-form","Yes","dot-match"
"resources/views/student/ai-analysis/index.blade.php","student.ai-analysis.index","No",""
"resources/views/student/ai-analysis/partials/content.blade.php","student.ai-analysis.partials.content","No",""
"resources/views/student/ai-analysis/partials/navigation.blade.php","student.ai-analysis.partials.navigation","No",""
"resources/views/student/ai-analysis/partials/scripts.blade.php","student.ai-analysis.partials.scripts","No",""
"resources/views/student/ai-analysis/partials/skeleton.blade.php","student.ai-analysis.partials.skeleton","No",""
"resources/views/student/ai-analysis/partials/styles.blade.php","student.ai-analysis.partials.styles","No",""
"resources/views/student/dashboard.blade.php","student.dashboard","Yes","dot-match"
"resources/views/student/dashboard/partials/dashboard-bg.blade.php","student.dashboard.partials.dashboard-bg","Yes","dot-match"
"resources/views/student/dashboard/partials/dashboard-hero.blade.php","student.dashboard.partials.dashboard-hero","Yes","dot-match"
"resources/views/student/dashboard/partials/dashboard-modals.blade.php","student.dashboard.partials.dashboard-modals","Yes","dot-match"
"resources/views/student/dashboard/partials/dashboard-stats.blade.php","student.dashboard.partials.dashboard-stats","Yes","dot-match"
"resources/views/student/dashboard/partials/dashboard-styles.blade.php","student.dashboard.partials.dashboard-styles","Yes","dot-match"
"resources/views/student/exam/partials/exam-content.blade.php","student.exam.partials.exam-content","No",""
"resources/views/student/exam/partials/exam-header.blade.php","student.exam.partials.exam-header","No",""
"resources/views/student/exam/partials/exam-modals.blade.php","student.exam.partials.exam-modals","No",""
"resources/views/student/exam/partials/exam-scripts.blade.php","student.exam.partials.exam-scripts","No",""
"resources/views/student/exam/partials/exam-sidebar.blade.php","student.exam.partials.exam-sidebar","No",""
"resources/views/student/exam/partials/exam-styles.blade.php","student.exam.partials.exam-styles","No",""
"resources/views/student/exam/result.blade.php","student.exam.result","No",""
"resources/views/student/exam/start.blade.php","student.exam.start","No",""
"resources/views/student/exam/test.blade.php","student.exam.test","No",""
"resources/views/student/leaderboard/index.blade.php","student.leaderboard.index","No",""
"resources/views/student/leaderboard/partials/leaderboard-bg.blade.php","student.leaderboard.partials.leaderboard-bg","No",""
"resources/views/student/leaderboard/partials/leaderboard-hero.blade.php","student.leaderboard.partials.leaderboard-hero","No",""
"resources/views/student/leaderboard/partials/leaderboard-list.blade.php","student.leaderboard.partials.leaderboard-list","No",""
"resources/views/student/leaderboard/partials/leaderboard-styles.blade.php","student.leaderboard.partials.leaderboard-styles","No",""
"resources/views/student/partials/shared-bg-styles.blade.php","student.partials.shared-bg-styles","No",""
"resources/views/student/partials/shared-utils-styles.blade.php","student.partials.shared-utils-styles","No",""
"resources/views/student/practice/partials/practice-content.blade.php","student.practice.partials.practice-content","No",""
"resources/views/student/practice/partials/practice-header.blade.php","student.practice.partials.practice-header","No",""
"resources/views/student/practice/partials/practice-modals.blade.php","student.practice.partials.practice-modals","No",""
"resources/views/student/practice/partials/practice-scripts.blade.php","student.practice.partials.practice-scripts","No",""
"resources/views/student/practice/partials/practice-sidebar.blade.php","student.practice.partials.practice-sidebar","No",""
"resources/views/student/practice/partials/practice-styles.blade.php","student.practice.partials.practice-styles","No",""
"resources/views/student/practice/result.blade.php","student.practice.result","No",""
"resources/views/student/practice/start.blade.php","student.practice.start","No",""
"resources/views/student/practice/test.blade.php","student.practice.test","No",""
"resources/views/student/results/certificate.blade.php","student.results.certificate","No",""
"resources/views/student/results/exam-history.blade.php","student.results.exam-history","No",""
"resources/views/student/results/index.blade.php","student.results.index","Yes","dot-match"
"resources/views/student/results/practice-history.blade.php","student.results.practice-history","No",""
"resources/views/student/review/index.blade.php","student.review.index","Yes","dot-match"
"resources/views/student/review/partials/index-scripts.blade.php","student.review.partials.index-scripts","No",""
"resources/views/student/review/partials/index-styles.blade.php","student.review.partials.index-styles","No",""
"resources/views/student/review/partials/review-bg.blade.php","student.review.partials.review-bg","No",""
"resources/views/student/review/partials/show-scripts.blade.php","student.review.partials.show-scripts","No",""
"resources/views/student/review/partials/show-styles.blade.php","student.review.partials.show-styles","No",""
"resources/views/student/review/show.blade.php","student.review.show","No",""
"resources/views/welcome.blade.php","welcome","No",""
